code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket
000683,远兴能源,化工原料,内蒙,80.88,116264.34,161889.19,1913351.25,375307.09,966542.19,142011.8,0.88,0.048,3.75,1.37,19970131
002050,三花股份,机械基件,浙江,21.16,151743.84,180147.59,769806.31,496308.59,203902.66,10968.17,0.06,0.28300000000000003,2.36,3.38,20050607
600759,洲际油气,石油开采,海南,2967.87,158082.94,226350.75,1344381.63,263261.53,6771.42,243524.8,1.08,0.002,2.16,4.01,19961008
603366,日出东方,家用电器,江苏,38.39,80000.0,80000.0,446252.84,315082.22,46587.09,191865.81,2.4,0.17300000000000001,4.44,1.99,20120521
000631,顺发恒业,区域地产,吉林,41.15,146371.34,146371.34,1195828.63,1031413.69,1136.03,21622.92,0.15,0.161,2.51,3.54,19961122
000520,长航凤凰,水运,湖北,71.01,101208.34,101208.34,54791.81,41183.26,11284.91,195886.7,1.94,0.10800000000000001,0.23,44.16,19931025
002212,南洋股份,电气设备,广东,91.33,30184.16,51026.0,309324.25,162879.63,55265.5,54541.68,1.07,0.081,3.5,2.82,20080201
002726,龙大肉食,食品,山东,51.21,10882.45,43648.0,193060.38,128350.97,44760.05,58340.06,1.34,0.265,3.54,3.84,20140626
000913,钱江摩托,摩托车,浙江,0.0,45343.62,45353.6,348563.0,201261.05,81651.65,133710.31,2.95,-0.07,4.53,3.05,19990514
002660,茂硕电源,电气设备,深圳,728.72,18156.21,27734.13,166729.5,95693.15,43045.45,47529.45,1.71,0.015,3.12,4.61,20120316
002416,爱施德,电器连锁,深圳,147.93,96986.2,99138.47,1226119.0,1139762.25,3299.68,153021.81,1.54,0.10800000000000001,4.45,4.81,20100528
002193,山东如意,纺织,山东,161.04,15994.95,16000.0,191644.97,94365.53,42316.76,22275.36,1.39,0.107,4.29,4.02,20071207
