code,name,change,open,preclose,close,high,low,volume,amount
000001,上证指数,0.38,3058.3388,3050.592,3062.0876,3062.2991,3058.0324,3747108,41.7491
000002,Ａ股指数,0.38,3200.646,3192.5045,3204.5745,3204.7997,3200.3239,3743643,41.7215
000003,Ｂ股指数,0.09,378.3913,378.3762,378.708,378.7455,378.3913,3465,0.0276
000008,综合指数,0.4,2677.2328,2670.0102,2680.5728,2680.5825,2676.4061,905693,8.7945
000009,上证380,0.34,5562.6172,5552.6519,5571.4766,5571.9412,5562.5524,1152096,13.476
000010,上证180,0.38,7016.2327,6996.0876,7022.9399,7023.6863,7015.8053,1273457,11.997
000011,基金指数,0.1,5679.2917,5677.1723,5683.097,5683.5754,5679.2917,232704,5.4879
000012,国债指数,0.01,156.7393,156.7242,156.7425,156.7425,156.7393,11,0.0001
000016,上证50,0.4,2174.8833,2168.0372,2176.7632,2177.1193,2174.559,392845,3.6711
000017,新综指,0.38,2581.1026,2574.5419,2584.2664,2584.4481,2580.8428,3735030,41.5385
000300,沪深300,0.4,3266.2883,3257.5276,3270.4394,3270.6375,3266.1485,1897710,22.099
399001,深证成指,0.55,10719.268,10683.857,10742.104,10743.23,10719.268,575448803,105.8291
399002,深成指R,0.55,12531.726,12490.247,12558.423,12559.739,12531.726,227467662,38.0627
399003,成份Ｂ指,0.75,6473.811,6447.854,6495.9619999999995,6495.9619999999995,6473.811,98200,0.0141
399004,深证100R,0.52,4527.4259999999995,4513.6720000000005,4537.223,4537.414000000001,4527.4259999999995,79708962,12.8458
399005,中小板指,0.5,7033.2919999999995,7012.321999999999,7047.409000000001,7048.023,7033.2919999999995,44228241,8.1829
399006,创业板指,0.81,2310.923,2297.041,2315.624,2316.629,2310.923,40417124,12.7986
399100,新 指 数,0.46,8537.18,8513.733,8553.235999999999,8553.591,8537.18,577685726,105.6402
399101,中小板综,0.41,11489.785,11462.183,11509.231000000002,11510.454,11489.785,184983423,37.0084
399106,深证综指,0.46,1967.058,1961.707,1970.743,1970.8670000000002,1967.058,589465327,108.2013
399107,深证Ａ指,0.46,2057.63,2052.029,2061.489,2061.619,2057.63,588610457,108.1519
399108,深证Ｂ指,0.36,1144.777,1142.239,1146.344,1146.36,1144.444,854870,0.0494
399333,中小板R,0.5,7618.246999999999,7595.533,7633.5380000000005,7634.203,7618.246999999999,44228241,8.1829
399606,创业板R,0.81,2383.381,2368.981,2388.229,2389.265,2383.381,40417124,12.7986
