Date,Open,High,Low,Close,Volume,Adj Close
2015-01-14,5.73,5.76,5.7,5.76,236900,4.781301
2015-01-15,5.79,5.79,5.67,5.7,277100,4.731496
2015-01-16,5.68,5.77,5.67,5.77,387600,4.7896019999999995
2015-01-20,5.79,5.81,5.71,5.74,468100,4.764699
2015-01-21,5.64,5.68,5.62,5.65,217400,4.773148
2015-01-22,5.68,5.76,5.64,5.73,464400,4.840732
2015-01-23,5.72,5.75,5.72,5.74,324000,4.8491800000000005
2015-01-26,5.73,5.76,5.71,5.74,242300,4.8491800000000005
2015-01-27,5.68,5.74,5.65,5.72,335600,4.832284
2015-01-28,5.75,5.75,5.58,5.61,384500,4.739356
2015-01-29,5.63,5.64,5.54,5.62,381100,4.747803
2015-01-30,5.59,5.63,5.56,5.57,390500,4.705563
2015-02-02,5.6,5.61,5.52,5.6,1029300,4.730907
2015-02-03,5.66,5.7,5.65,5.68,544800,4.7984919999999995
2015-02-04,5.69,5.74,5.68,5.69,551200,4.80694
2015-02-05,5.7,5.78,5.7,5.75,554700,4.857628
2015-02-06,5.77,5.79,5.71,5.72,373900,4.832284
2015-02-09,5.73,5.76,5.7,5.71,334300,4.823836
2015-02-10,5.75,5.81,5.74,5.79,394500,4.89142
2015-02-11,5.79,5.82,5.78,5.81,347300,4.908316
2015-02-12,5.82,5.89,5.82,5.86,441000,4.950557
2015-02-13,5.87,5.9,5.86,5.88,341800,4.967453
2015-02-17,5.88,5.9,5.85,5.86,355300,4.950557
2015-02-18,5.85,5.89,5.83,5.87,301400,4.959005
2015-02-19,5.84,5.9,5.84,5.89,312900,4.975901
2015-02-20,5.89,5.95,5.87,5.94,406200,5.018141
2015-02-23,5.94,5.95,5.92,5.94,299500,5.018141
2015-02-24,5.92,5.95,5.92,5.94,400900,5.018141
2015-02-25,5.96,5.96,5.92,5.94,447000,5.018141
2015-02-26,5.92,5.96,5.91,5.94,421300,5.018141
2015-02-27,5.93,5.95,5.92,5.93,257900,5.009693
2015-03-02,5.94,5.98,5.93,5.97,246000,5.0434849999999996
2015-03-03,5.95,5.95,5.92,5.94,193600,5.018141
2015-03-04,5.92,5.92,5.88,5.92,203700,5.001245
2015-03-05,5.93,5.94,5.91,5.94,199000,5.018141
2015-03-06,5.93,5.94,5.86,5.88,375500,4.967453
2015-03-09,5.89,5.91,5.85,5.86,666200,4.950557
2015-03-10,5.81,5.83,5.76,5.77,404500,4.874524
2015-03-11,5.8,5.8,5.74,5.75,271200,4.857628
2015-03-12,5.79,5.84,5.77,5.83,290700,4.925212
2015-03-13,5.81,5.82,5.75,5.81,300200,4.908316
2015-03-16,5.82,5.86,5.82,5.85,481000,4.942108
2015-03-17,5.82,5.87,5.82,5.85,357000,4.942108
2015-03-18,5.82,5.94,5.8,5.9,395900,4.984349
2015-03-19,5.86,5.9,5.85,5.86,397400,4.950557
2015-03-20,5.88,5.93,5.88,5.91,436600,4.992797
2015-03-23,5.9,5.93,5.9,5.9,270800,4.984349
2015-03-24,5.91,5.92,5.86,5.88,355000,4.967453
2015-03-25,5.88,5.89,5.79,5.79,512800,4.89142
2015-03-26,5.78,5.8,5.76,5.77,251200,4.874524
2015-03-27,5.76,5.79,5.76,5.78,229400,4.8829720000000005
2015-03-30,5.82,5.89,5.82,5.87,668600,4.959005
2015-03-31,5.85,5.86,5.82,5.84,406500,4.933661
2015-04-01,5.82,5.84,5.8,5.8,561000,4.899868
2015-04-02,5.8,5.85,5.79,5.82,541700,4.916765
2015-04-06,5.77,5.88,5.77,5.86,511800,4.950557
2015-04-07,5.86,5.91,5.86,5.87,342800,4.959005
2015-04-08,5.87,5.9,5.86,5.88,356900,4.967453
2015-04-09,5.89,5.93,5.88,5.92,395700,5.001245
2015-04-10,5.92,5.96,5.91,5.95,545400,5.0265889999999995
2015-04-13,5.95,5.98,5.93,5.93,287800,5.009693
2015-04-14,5.93,5.95,5.91,5.93,492500,5.009693
2015-04-15,5.94,6.01,5.94,6.0,616300,5.068829
2015-04-16,5.96,6.01,5.96,5.99,279900,5.060381
2015-04-17,5.95,5.95,5.9,5.92,358000,5.001245
2015-04-20,5.94,5.99,5.94,5.96,458100,5.035037
2015-04-21,5.99,5.99,5.94,5.98,408200,5.051933
2015-04-22,5.99,6.02,5.96,6.01,440700,5.077278
2015-04-23,6.0,6.03,5.99,6.01,453600,5.077278
2015-04-24,6.0,6.03,5.99,6.01,438000,5.077278
2015-04-27,6.03,6.04,5.97,5.98,444000,5.051933
2015-04-28,6.0,6.04,5.96,6.03,516300,5.094174
2015-04-29,5.89,5.89,5.84,5.88,579600,5.085525
2015-04-30,5.87,5.89,5.82,5.84,559000,5.050929
2015-05-01,5.87,5.9,5.85,5.89,339500,5.0941730000000005
2015-05-04,5.89,5.91,5.87,5.88,378900,5.085525
2015-05-05,5.86,5.89,5.82,5.85,352500,5.059578
2015-05-06,5.85,5.86,5.78,5.8,338500,5.016334
2015-05-07,5.81,5.84,5.79,5.83,184800,5.04228
2015-05-08,5.88,5.91,5.87,5.91,377000,5.111471
2015-05-11,5.9,5.91,5.84,5.85,681400,5.059578
2015-05-12,5.81,5.86,5.79,5.85,653000,5.059578
2015-05-13,5.86,5.88,5.82,5.84,374000,5.050929
2015-05-14,5.88,5.94,5.86,5.94,693900,5.137418
2015-05-15,5.92,5.93,5.89,5.9,318400,5.102822
2015-05-18,5.9,5.92,5.89,5.9,338600,5.102822
2015-05-19,5.92,5.92,5.89,5.91,314700,5.111471
2015-05-20,5.91,5.92,5.89,5.91,314800,5.111471
2015-05-21,5.91,5.93,5.9,5.93,277600,5.128769
2015-05-22,5.92,5.93,5.9,5.9,279300,5.102822
2015-05-26,5.9,5.9,5.81,5.82,425100,5.033632
2015-05-27,5.84,5.93,5.84,5.93,299800,5.128769
2015-05-28,5.92,5.92,5.89,5.91,255100,5.111471
2015-05-29,5.9,5.91,5.86,5.87,275800,5.076876
2015-06-01,5.89,5.89,5.85,5.86,382800,5.068226999999999
2015-06-02,5.84,5.89,5.84,5.86,197400,5.068226999999999
2015-06-03,5.86,5.89,5.84,5.86,282200,5.068226999999999
2015-06-04,5.85,5.87,5.8,5.8,461000,5.016334
2015-06-05,5.81,5.84,5.79,5.83,487800,5.04228
2015-06-08,5.84,5.84,5.79,5.8,263600,5.016334
2015-06-09,5.8,5.83,5.78,5.82,345100,5.033632
2015-06-10,5.86,5.9,5.83,5.9,428100,5.102822
2015-06-11,5.92,5.92,5.89,5.91,288300,5.111471
2015-06-12,5.89,5.89,5.84,5.84,232500,5.050929
2015-06-15,5.83,5.83,5.8,5.81,285100,5.024983
2015-06-16,5.82,5.86,5.81,5.84,257200,5.050929
2015-06-17,5.86,5.89,5.84,5.87,338400,5.076876
2015-06-18,5.87,5.94,5.87,5.93,300100,5.128769
2015-06-19,5.92,5.94,5.89,5.91,270400,5.111471
2015-06-22,5.94,5.95,5.89,5.89,370000,5.0941730000000005
2015-06-23,5.9,5.92,5.9,5.91,490800,5.111471
2015-06-24,5.9,5.93,5.9,5.9,347600,5.102822
2015-06-25,5.92,5.92,5.87,5.88,207800,5.085525
2015-06-26,5.89,5.89,5.83,5.86,276000,5.068226999999999
2015-06-29,5.79,5.81,5.71,5.72,565000,4.947143
2015-06-30,5.73,5.79,5.7,5.75,422300,4.97309
2015-07-01,5.78,5.81,5.76,5.77,460300,4.990387
2015-07-02,5.78,5.8,5.73,5.76,443800,4.981739
2015-07-06,5.69,5.75,5.67,5.7,353500,4.929844999999999
2015-07-07,5.73,5.76,5.65,5.72,474600,4.947143
2015-07-08,5.7,5.72,5.65,5.66,279600,4.89525
2015-07-09,5.7,5.73,5.64,5.64,463700,4.877952
2015-07-10,5.7,5.75,5.7,5.75,222900,4.97309
2015-07-13,5.79,5.82,5.77,5.8,260200,5.016334
2015-07-14,5.8,5.86,5.78,5.85,304100,5.059578
2015-07-15,5.86,5.89,5.83,5.84,359100,5.050929
2015-07-16,5.9,5.92,5.86,5.87,368100,5.076876
2015-07-17,5.88,5.9,5.84,5.85,244600,5.059578
2015-07-20,5.86,5.87,5.84,5.87,270500,5.076876
2015-07-21,5.87,5.89,5.83,5.88,444100,5.085525
2015-07-22,5.87,5.89,5.84,5.89,293500,5.0941730000000005
2015-07-23,5.89,5.89,5.85,5.86,300300,5.068226999999999
2015-07-24,5.86,5.87,5.77,5.82,466700,5.033632
2015-07-27,5.8,5.81,5.76,5.79,819800,5.0076849999999995
2015-07-28,5.8,5.83,5.76,5.83,431300,5.04228
2015-07-29,5.73,5.73,5.69,5.73,444100,5.077726999999999
2015-07-30,5.71,5.74,5.69,5.73,304300,5.077726999999999
2015-07-31,5.74,5.76,5.72,5.74,296900,5.086588
2015-08-03,5.74,5.75,5.68,5.72,191100,5.068865
2015-08-04,5.7,5.72,5.67,5.7,246100,5.051142
2015-08-05,5.71,5.73,5.7,5.73,257700,5.077726999999999
2015-08-06,5.73,5.73,5.66,5.69,272500,5.04228
2015-08-07,5.68,5.68,5.59,5.6,261800,4.962525
2015-08-10,5.63,5.69,5.63,5.66,517000,5.015695
2015-08-11,5.61,5.63,5.59,5.62,272200,4.980249
2015-08-12,5.57,5.66,5.55,5.66,472000,5.015695
2015-08-13,5.64,5.69,5.6,5.61,474600,4.971387
2015-08-14,5.64,5.65,5.6,5.63,311500,4.989111
2015-08-17,5.6,5.64,5.58,5.64,409900,4.997972
2015-08-18,5.61,5.64,5.6,5.63,364500,4.989111
2015-08-19,5.62,5.63,5.56,5.62,403600,4.980249
2015-08-20,5.56,5.57,5.49,5.49,419800,4.865047
2015-08-21,5.44,5.46,5.27,5.31,1304800,4.7055370000000005
2015-08-24,5.0,5.18,4.43,4.98,1194300,4.4131029999999996
2015-08-25,5.13,5.15,5.01,5.06,812800,4.483996
2015-08-26,5.1,5.16,5.01,5.16,830900,4.572613
2015-08-27,5.21,5.29,5.17,5.26,610200,4.6612290000000005
2015-08-28,5.26,5.31,5.23,5.31,228300,4.7055370000000005
2015-08-31,5.3,5.33,5.25,5.31,330000,4.7055370000000005
2015-09-01,5.19,5.25,5.16,5.17,299400,4.581474
2015-09-02,5.22,5.23,5.16,5.22,494700,4.625782
2015-09-03,5.24,5.29,5.22,5.24,421900,4.6435059999999995
2015-09-04,5.18,5.21,5.15,5.2,451500,4.608059
2015-09-08,5.25,5.27,5.21,5.26,692000,4.6612290000000005
2015-09-09,5.32,5.32,5.19,5.19,503400,4.599198
2015-09-10,5.19,5.24,5.17,5.22,504100,4.625782
2015-09-11,5.19,5.22,5.18,5.21,303900,4.616921
2015-09-14,5.24,5.25,5.17,5.21,223500,4.616921
2015-09-15,5.2,5.25,5.18,5.24,682600,4.6435059999999995
2015-09-16,5.24,5.3,5.24,5.29,254900,4.687814
2015-09-17,5.26,5.33,5.26,5.26,454900,4.6612290000000005
2015-09-18,5.23,5.25,5.18,5.22,408500,4.625782
2015-09-21,5.24,5.26,5.18,5.2,375800,4.608059
2015-09-22,5.14,5.16,5.1,5.16,395400,4.572613
2015-09-23,5.16,5.2,5.12,5.17,473500,4.581474
2015-09-24,5.14,5.18,5.1,5.18,674000,4.590336
2015-09-25,5.22,5.23,5.1,5.16,360000,4.572613
2015-09-28,5.12,5.12,4.94,5.07,1054600,4.492858
2015-09-29,4.97,5.0,4.93,4.96,488600,4.39538
2015-09-30,4.99,5.08,4.98,5.08,593300,4.5017190000000005
2015-10-01,5.07,5.08,5.01,5.02,383600,4.44855
2015-10-02,4.95,5.09,4.95,5.07,638300,4.492858
2015-10-05,5.11,5.22,5.11,5.19,584500,4.599198
2015-10-06,5.2,5.22,5.18,5.18,405600,4.590336
2015-10-07,5.19,5.27,5.19,5.2,542500,4.608059
2015-10-08,5.21,5.3,5.21,5.25,478300,4.652368
2015-10-09,5.26,5.31,5.26,5.27,370700,4.670091
2015-10-12,5.27,5.33,5.27,5.29,320900,4.687814
2015-10-13,5.28,5.3,5.23,5.23,343800,4.634644000000001
2015-10-14,5.25,5.29,5.22,5.28,923000,4.678953
2015-10-15,5.29,5.32,5.26,5.31,487700,4.7055370000000005
2015-10-16,5.32,5.39,5.31,5.39,269700,4.776431
2015-10-19,5.36,5.4,5.35,5.39,256400,4.776431
2015-10-20,5.39,5.41,5.36,5.39,247900,4.776431
2015-10-21,5.4,5.42,5.34,5.35,331100,4.740984
2015-10-22,5.38,5.44,5.38,5.41,289600,4.794154
2015-10-23,5.47,5.49,5.43,5.48,389600,4.856186
2015-10-26,5.48,5.49,5.45,5.45,280200,4.829601
2015-10-27,5.44,5.45,5.41,5.41,299000,4.794154
2015-10-28,5.33,5.42,5.31,5.4,1041200,4.903112
2015-10-29,5.39,5.39,5.34,5.37,543500,4.875872
2015-10-30,5.4,5.4,5.32,5.37,370600,4.875872
2015-11-02,5.38,5.44,5.37,5.43,298500,4.930351
2015-11-03,5.42,5.48,5.41,5.46,309800,4.957591000000001
2015-11-04,5.49,5.49,5.43,5.44,199000,4.939431
2015-11-05,5.45,5.47,5.41,5.47,250800,4.966671
2015-11-06,5.46,5.47,5.41,5.43,521900,4.930351
2015-11-09,5.43,5.45,5.35,5.37,429700,4.875872
2015-11-10,5.35,5.4,5.35,5.36,330000,4.866793
2015-11-11,5.39,5.39,5.33,5.33,280700,4.8395529999999995
2015-11-12,5.31,5.32,5.25,5.26,238800,4.775995
2015-11-13,5.25,5.26,5.2,5.21,317500,4.730595
2015-11-16,5.2,5.28,5.2,5.28,410300,4.794154
2015-11-17,5.29,5.33,5.26,5.28,408700,4.794154
